id,county,category-en,subcategory-en,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website-en,website-es,hours-en,hours-es,transportation-en,transportation-es,translation-en,translation-es,bilingual-en,bilingual-es,documents-en,documents-es,citizenship-en,citizenship-es,cost-en,cost-es,notes-en,notes-es,internal-note-en,notes-internal-en,notes-internal-es,amy-notes-en,amy-notes-es
1,Albany,Education,ESL; Citizenship preparation; Career education,Literacy New York Greater Capital Region,61 Washington Avenue,2nd Floor,,Albany,NY,12210,-73.762116,42.6566,(518) 631-2926,,cdarling@literacynycap.org,http://www.literacynycap.org/,http://www.literacynycap.org/,M Tu Th 9:00 AM-1:00 PM or by appointment,lunes martes jueves 9:00AM-1:00PM o por cita,No,No,No,No,"No, some documents are bilingual but not all","No, pero algunos documentos son bilingües (no todos)","Photo ID, will ask for SS#, but it is not required","Prueba de identidad; Pedirán número de seguro social, pero no es necesario para recibir servicios si no tiene uno",Not required,No es requerida,No cost,No hay costo,,,,They are in the process of merging with another group. There legal name is still the Mohawk-Hudson Region but they current name listed is to be their new name.,They are in the process of merging with another group. There legal name is still the Mohawk-Hudson Region but they current name listed is to be their new name.,,
2,Albany,Labor; Referral to other agencies; Emergency assistance; Legal aid; Programs for families; Housing,Job search assistance; Food; Other needs; Other law; Programs for kids; Utility assistance; ESL; Citizenship preparation; Immigration law;,Albany Community Action Partnership,333 Sheridan Ave,,,Albany,NY,12206,-73.764547,42.660918,(518) 463-3175 (Ext. 101),(518) 463-8185,https://www.albanycap.org/contact.html,www.albanycap.org,www.albanycap.org,M-F 8:30 AM-4:30 PM,lunes - viernes 8:30AM-4:30PM,No,No,No,No,"Yes, Spanish","Sí, español","Caution: requires US citizenship, ID or green card",Prueba de ciudadanía o estatus legal para trabajar (tarjeta verde),Caution: proof of citizenship required,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,,,,,,,
3,Albany,Education; Legal aid; Labor,ESL; Citizenship preparation,Refugee and Immigrant Support Services Emmaus,715 Morris Street,,,Albany,NY,12208,-73.79193,42.664574,(518) 621-1041; (518) 567-4354; (518) 505-1737,(518) 487-4912,info@risse-albany.org,http://www.risse-albany.org/home/,http://www.risse-albany.org/home/,M-F 11:00 AM-7:00 PM,lunes - viernes 11:00AM-7:00PM,For some programs,Depende del programa,Yes,No,No,No,None,Ninguno,Not required,No es requerida,No cost,No hay costo,,,,,,,
4,Albany,Programs for families; Mental health,Programs for kids; Psychological support,"Albany County Department for Children, Youth and Families",112 State St,Room 300,,Albany,NY,12207,-73.754219,42.650051,(518) 447-7324,(518) 447-7578,,https://www.albanycounty.com/departments/children-youth-and-families,https://www.albanycounty.com/departments/children-youth-and-families,M-F 8:30 AM-4:30 PM,lunes - viernes 8:30AM-4:30PM,No,No,No,No,No,No,None,Ninguno,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,,,,,,,
5,Albany,Education; Labor; Leadership training; Programs for families,Adult education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,21 Martin Road,,,Voorheesville,NY,12186,-73.962802,42.642304,(518) 765-3500,,albany@cornell.edu,http://albany.cce.cornell.edu,http://albany.cce.cornell.edu,M-F 8:30 AM-4:00 PM,lunes - viernes 8:30AM-4:00PM,No,No,Upon request,Con cita,By appointment,Con cita,Proof of address,Prueba de dirección,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,Small fee or no cost,Hay un costo bajo o puede ser gratis en ciertos casos,,,,,,,
6,Albany,Education; Labor; Leadership training; Programs for families,Adult education; Career advice; Programs for kids; Training,Cornell Cooperative Extension,230 Green Street,3rd Floor,,Albany,NY,12202,-73.755307,42.638928,(518) 463-4267,(518) 463-426,albany@cornell.edu,http://albany.cce.cornell.edu,http://albany.cce.cornell.edu,M-F 8:30 AM-4:00 PM,lunes - viernes 8:30AM-4:00PM,No,No,Upon request,Con cita,No,No,Proof of address,Prueba de dirección,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,Small fee or no cost,Hay un costo bajo o puede ser gratis en ciertos casos,,,,Utility assistance,Asistencia para pagos de utilidad,,
7,Albany,Elderly services; Referral to other agencies; Health,Health accessibility,New York State Office of the Aging,2 Empire State Plaza,5th floor,,Albany,NY,12223,-73.759802,42.650406,(844) NYS-OFA1 or (844) 697-6321,,https://aging.ny.gov/contact-us,https://aging.ny.gov,https://aging.ny.gov,M-F 9:00 AM-4:30 PM,lunes - viernes 9:00AM-4:30PM,No,No,Yes,"Sí, español",No,No,None,Ninguno,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,,,,,,,
8,Albany,Programs for families; Victim support,Programs for kids,Office of Children and Family Services,52 Washington Street,,,Rensselaer,NY,12144,-73.744132,42.639698,(518) 473-7793,(518) 486-7550,https://ocfs.ny.gov/main/contact/,https://ocfs.ny.gov/main/default.asp,https://ocfs.ny.gov/main/default.asp,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,No,No,Yes,Sí,No,No,"Caution: requires US citizenship, ID or green card","Sí, prueba de ciudadanía o estatus legal para trabajar (tarjeta verde)",Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,,,,"Child Protective Services, Foster Care, Adoption, Adolescent Services, Centralized Intake/Prevention.","Child Protective Services, Foster Care, Adoption, Adolescent Services, Centralized Intake/Prevention.",,
9,Albany,Labor,Job search assistance; Training; Career advice; Farm visits; Labor rights,New York State Department of Labor - Albany,1 Campus Access Rd,"NYS Department of Labor, Building 12 of the W. Averell Harriman Campus",,Albany,NY,12203,-73.811373,42.681485,"(315) 877-7996 contact Laura Cardoso, not the main office at this location",(518) 462-2768,laura.cardoso@labor.ny.gov,https://dol.ny.gov ,https://dol.ny.gov  ,M-F 8:30 AM-5:00 PM,lunes - viernes 8:30AM-5:00PM,No,No,Yes,"Sí, español, frances, arabe, turco",Yes,Sí,None,Ninguno,"Proof of citizenship may be required for some programs. Contact Laura Cardoso, Agricultural Labor Specialist. (585) 589-5335 Labor law protections in New York State apply to all workers, regardless of immigration status. U.S. work authorization is required to register for career center/job search.services.","Prueba de ciudadanía puede ser requerido por algunos programas. Contacte a Laura Cardoso, Especialista de Trabajo Agrícola. (585) 589-5335. Las leyes de protección de trabajo agricola aplica a todos los trabajadores en Nueva York, sin importar su estatus legal.",No cost,No hay costo,,,,Employment Services has a Rural Labor Service representative who help fill job requests.,Employment Services has a Rural Trabajo Service representative who help fill job requests.,,
10,Albany,Health,Farm visits,Albany County Department of Health,175 Green St,,,Albany,NY,12202,-73.754468,42.64187,(518) 447-4580,(518) 447-4698,,https://www.albanycounty.com/departments/health ,https://www.albanycounty.com/departments/health,M-F 8:30 AM-4:30 PM,lunes - viernes 8:30AM-4:30PM,No,No,No,No,No,No,Proof of Albany County residency,Prueba de residencia en el condado,Not required,No es requerida,Small fee,Costos bajos,,,,"Nursing Services, Dental (Pediatric), Immunizations, Sexually Transmitted Disease Testing and Counseling, EnvironMental health, Community Health and Food Protection, Birth to Five Program, In-Home Support Program (Bright Beginnings), Heart Disease and Cancer Screening Program.","Nursing Services, Dental (Pediatric), Immunizations, Sexually Transmitted Disease Testing and Counseling, EnvironSalud mental, Community Salud and Alimentos Protection, Birth to Five Program, In-Home Support Program (Bright Beginnings), Heart Disease and Cancer Screening Program.",,
