id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,notes-internal,amy-notes
1,,Albany,Educación,Clases de inglés; Preparación para la ciudadanía; Capacitación profesional,Literacy New York Greater Capital Region,161 Washington Avenue,2nd Floor,,Albany,NY,12210,-73.762116,42.656600,(518) 631-2926,,cdarling@literacynycap.org,http://www.literacynycap.org/,lunes martes jueves 9:00AM-1:00PM o por cita,No,No,No. Algunos documentos son bilingüe pero no todos,"Prueba de identidad; Van a pedir si tiene un numero de seguridad, pero no es necessario para recibir servicios",No requerido,Gratis,,They are in the process of merging with another group. There legal name is still the Mohawk-Hudson Region but they current name listed is to be their new name.,
2,,Albany,Trabajo; Referencias a otros servicios; Asistencia en casos de emergencia; Asistencia legal; Programas para familias; Vivienda,"Conseguir trabajo; Alimentos; Otras necesidades; Otros casos legales; Programas para niños; Asistencia para pagos de utilidad; Clases de inglés; Preparación para la ciudadanía; Inmigración (deportación, ciudadanía y regularización)",Albany Community Action Partnership,333 Sheridan Ave,,,Albany,NY,12206,-73.764547,42.660918,(518) 463-3175   (Ext. 101), (518) 463-8185,https://www.albanycap.org/contact.html,www.albanycap.org,lunes - viernes 8:30AM-4:30PM,No,No,Sí,"Sí, prueba de ciudadanía o estatus legal para trabajar (targeta verde)",PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,,,
3,,Albany ,Educación; Asistencia legal; Trabajo,Clases de inglés; Preparación para la ciudadanía ,Refugee and Immigrant Support Services Emmaus,715 Mt. Morris Street,,,Albany,NY,12208,-73.791930,42.664574,(518) 621-1041; (518) 567-4354; (518) 505-1737 ,(518) 487-4912 ,info@risse-albany.org,http://www.risse-albany.org/home/,lunes - viernes 11:00am-7:00pm,Depende el programa,No,No,No,No requerido,Gratis,,,
4,,Albany,Programas para familias; Salud mental,Programas para niños; Apoyo psicológico,"Albany County Department for Children, Youth and Families",112 State St ,Room 300,,Albany,NY,12207,-73.754219,42.650051,(518) 447-7324,(518) 447-7578,,http://www.albanycounty.com/Government/Departments/DepartmentforChildrenYouthandFamilies/ChildrensServices.aspx,lunes - viernes 8:30AM-4:30PM,No,No,No,No,PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,,,
5,,Albany,Educación; Trabajo; Capacitación en liderazgo; Programas para familias,Cursos para adultos; Capacitación profesional; Programas para niños; Entrenamiento para el trabajo; Asesoramiento de carrera,Cornell Cooperative Extension,21 Martin Road,,,Voorheeseville,NY,12186,-73.962802,42.642304,(518) 765-3500,,albany@cornell.edu,www.albany.cce.cornell.edu,lunes - viernes 8:30AM-4:00PM,No,Se puede pedir,Llamar a la oficina principal,Prueba de dirección,PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Costos pequeños,,,
6,,Albany,Educación; Trabajo; Capacitación en liderazgo; Programas para familias,Cursos para adultos; Capacitación profesional; Programas para niños; Entrenamiento para el trabajo; Asesoramiento de carrera,Cornell Cooperative Extension,230 Green Street,3rd Floor,,Albany,NY,12202,-73.755307,42.638928,(518) 463-4267,(518) 463-426,albany@cornell.edu,www.albany.cce.cornell.edu,lunes - viernes 8:30AM-4:00PM,No,Se puede pedir,No,Prueba de dirección,PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Costos pequeños,,Asistencia para pagos de utilidad,
7,,Albany,Servicios para los ancianos; Referencias a otros servicios; Salud,Acceso a cobertura de salud ,New York State Office of the Aging,2 Empire State Plaza,,,Albany,NY,12223,-73.759802,42.650406,(844) NYS-OFA1 or (844)697-6321,,NYSOFA@aging.ny.gov,https://aging.ny.gov,lunes - viernes 9:00AM-4:30PM,No,"Sí, español",No,No,PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,,,
8,,Albany,Programas para familias; Apoyo para víctimas,Programas para niños,Office of Children and Family Services of New York State,52 Washington Street,,,Rensselaer,NY,12144,-73.744132,42.639698,(518) 473-7793,(518) 486-7550,,https://ocfs.ny.gov/main/default.asp,lunes - viernes 9:00AM-5:00PM,No,Sí,No,"Sí, prueba de ciudadanía o estatus legal para trabajar (targeta verde)",PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,,"Child Protective Services, Foster Care, Adoption, Adolescent Services, Centralized Intake/Prevention.",
9,,Albany,Trabajo,Conseguir trabajo; Entrenamiento para el trabajo; Asesoramiento de carrera,New York State Department of Labor,1 Campus Access Rd,"NYS Department of Labor, Building 12 of the W. Averell Harriman Campus",,Albany,NY,12240,-73.811373,42.681485,"(315) 877-7996 contact Laura Cardoso, not the main office at this location",(518) 462-2768,laura.cardoso@labor.ny.gov,https://www.Trabajo.ny.gov/dews-index.shtm,lunes - viernes 8:30AM-5:00PM,No,"Sí, español, frances, arabe, turco",Sí,No,"PRECAUCIÓN: Contacte a Laura Cardoso, Especialista de Trabajo Agricola. Las leyes de protección de trabajo agricola aplica a todos los trabajadores en Nueva York, sin importar su estatus legal. ",Gratis,,Employment Services has a Rural Trabajo Service representative who help fill job requests.,
10,,Albany,Salud,Visitas a fincas,Department of Health of Albany County,175 Green St,,,Albany,NY,12202,-73.754468,42.641870,(518) 447-4580,(518) 447-4698,,http://www.albanycounty.com/Government/Departments/DepartmentofSalud.aspx,lunes - viernes 8:30 AM-4:30 PM,No,No,No,Prueba de residencia en el condado,No requerido,Costos pequenos,,"Nursing Services, Dental (Pediatric), Immunizations, Sexually Transmitted Disease Testing and Counseling, EnvironSalud mental, Community Salud and Alimentos Protection, Birth to Five Program, In-Home Support Program (Bright Beginnings), Heart Disease and Cancer Screening Program.",
11,,Albany,Asistencia legal,"Inmigración (deportación, ciudadanía y regularización)",Bar Association of Albany County,112 State Street,Suite 545,,Albany,NY,12207,-73.754219,42.650051,(518) 445-7691,(518) 445-7511,acba@albanycountybar.com,www.albanycountybar.org,lunes - viernes 8:30 AM-4:30 PM,No,Sí,No,No,No requerido,Gratis,,Association provides pro bono work.,
12,,Albany,Asistencia legal,"Inmigración (deportación, ciudadanía y regularización); Ley familiar; Otros casos legales; Derechos laborales",Empire Justice Center,119 Washington Ave,,,Albany,NY,12210,-73.759864,42.655554,(518) 462-6831 ,(518) 935-2852,bweiner@empirejustice.org,www.empirejustice.org,lunes - viernes 9:00AM-5:00PM,Depende el programa,Sí,Sí,No,No requerido,Gratis,,"Works on Inmigración (deportación, ciudadanía y regularización) cases relevant to obtaining public benefits or documenting Violencia domestica. Work through other legal service programs. Deal with cases regarding Civil Rights, Domestic Violence, Economic Justice, Vivienda, Educación, Government Benefits, Salud, Inmigración (deportación, ciudadanía y regularización), Social Security.",
13,,Albany,Asistencia legal ,Ley familiar; Otros casos legales; Derechos laborales,"Legal aid Society of Northeastern New York, Inc.",95 Central Ave,,,Albany,NY,12206,-73.766222,42.659576,(518) 462-6765,(518) 427-8352,,www.lasnny.org,"lunes - viernes 9:00AM-12:00PM, 1:00PM-5:00PM",No,Sí,No,Prueba de residencia en el condado,PRECAUCIÓN: Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,Tiene que llamar para una entrevista legal,"Counties Served: Albany, Columbia, Greene, Rensselaer, Schenectady  Case Types:Benkrupcy; Dissolution of Marriage, Domestic Violence, Educación, Elder Law, Employment, Salud, Vivienda, Public Benefits, Termination of Parental Rights, Wills and Estates.",
14,,Albany,Asistencia legal ,"Inmigración (deportación, ciudadanía y regularización); Ley familiar; Otros casos legales; Derechos laborales",The Legal Project,24 Aviation Road,,,Albany,NY,12205,-73.803101,42.715554,(518) 435-1770,(518) 435-1773,info@legalproject.org,http://www.legalproject.org/,lunes - viernes 9:00AM-5:00PM,No,Sí,Sí,Sí,No requerido,Varía según los servicios,,"Counties Served:ë_Albany, Rensselaer, Saratoga, Schenectady. Location in Troy: Troy Public Library (Rensselaer County) 100 Second Street Troy, NY 12180 Phone: (518) 274.7071 Fax: (518) 274.9154 ë_ Website: thetroylibrary.org Available Hours: First Thursday of every month. Case Types:ë_AIDS/HIV, Adoption, Bankruptcy, Consumer, Custody, Dissolution of Marriage, Domestic Violence, Educación, Elder Law, Employment, Salud, Vivienda, Inmigración (deportación, ciudadanía y regularización), Individual Rights, Juvenile, Public Benefits, Real Estate, Termination of Parental Rights, Torts, Wills and Estates. Case Restrictions:ë_The Legal Clinics are Educación and consultation only. Representation in the Vivienda accesible Attorney Assistance program, the Bankruptcy & Credit program and the Domestic Violence Legal Connection is offered at pro bono or reduced fee, depending upon the client's income. We offer pro bono services to 200% of the federal poverty guideline. We can provide referrals to private Inmigración (deportación, ciudadanía y regularización) Attorneys to qualified clients.  Our Staff can assist you complete certain forms at no cost, such as N400 Application for Naturalization, N600 Application for Certificate of Citizenship, Consideration for Deferred Action for Childhood Arrivals (DACA), etc.",
15,,Albany,Asistencia legal ,"Inmigración (deportación, ciudadanía y regularización)",New York State Bar Association Department of Pro Bono Affairs,1 Elk Street,,,Albany,NY,12207,-73.754160,42.653159,(518) 463-3200,(518) 463-5993,probono@aila.org,https://nysba.org,lunes - viernes 9:00AM-5:00PM,No,Sí,Se puede pedir,Sí,No requerido,Gratis,,List of statewide members. Referral service.,
16,,Albany,Trabajo,Conseguir trabajo; Entrenamiento para el trabajo,The Workforce Solution Center of Albany,175 Central Ave,"3rd Floor, Front",,Albany,NY,12206,-73.768352,42.661769,(518) 242-8220,,jjones@albanyny.gov,www.capreg.org,lunes - viernes 8:30AM-5:00PM,No,Sí,No,Sí,Ciudadanía no requerido para servicios de conseguir trabajo;  Prueba de ciudadanía puede ser requerido por algunos programas,Gratis,,Does not have programs addressing agriculture.,
17,,Allegany,Trabajo; Programas para familias; Educación,Conseguir trabajo; Entrenamiento para el trabajo; Capacitación profesional; Programas para niños,New York Employment and Training Department of Allegany County,7 Wells Lane,,,Belmont,NY,14813,-78.034203,42.223147,(585) 268-9240,(585) 268-5176,alleganyent@alleganyco.com,https://www.alleganyco.com/departments/employment-and-training/,lunes - viernes 8:00AM-4:30PM; Horrario de verano lunes - viernes 8:00AM-4:00PM,No,Por teléfono,No,Sí,PRECAUCIÓN: Prueba de ciudadania puede ser requerido por algunos programas,Gratis,,"One-stop workforce services, job database, career services and counseling, referrals and help paying for training and Educación, clothes.",AS-organized info/need to call 
