id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,amy-notes
1,,Albany,Education,"ESL, Citizenship preparation, Career education",Literacy New York Greater Capital Region,161 Washington Avenue,2nd Floor,,Albany,NY,12210,-73.762116,42.656600,(518) 631-2926,,cdarling@literacynycap.org,http://www.literacynycap.org/,M Tu Th 9:00AM-1:00 PM or by appointment,No,No,"No, some documents are bilingual but not all","Photo ID, will ask for SS#, but it is not required",Not required,No cost,They are in the process of merging with another group. There legal name is still the Mohawk-Hudson Region but they current name listed is to be their new name.,
2,,Albany,Labor; Referrals to other agencies; Emergency assistance; Legal aid; Programs for families; Housing,Job search assistance; Food; Other needs; Other law; Programs for kids; Utility assistance; ESL; Citizenship preparation; Immigration law;,Albany Community Action Partnership,333 Sheridan Ave,,,Albany,NY,12206,-73.764547,42.660918,(518) 463-3175  --  (Ext. 101),(518) 463-8185,contact page on website,www.albanycap.org,M-F 8:30 AM-4:30PM,No,No,"Yes, Spanish","Caution: requires US citizenship, ID or green card",Caution: proof of citizenship required,No cost,,
3,,Albany,Education; Legal; Labor,ESL; Citizenship preparation,Refugee and Immigrant Support Services Emmaus,715 Mt. Morris Street,,,Albany,NY,12208,-73.791930,42.664574,(518) 621-1041; (518) 567-4354; (518) 505-1737,(518) 487-4912 ,contact page on website,http://www.risse-albany.org/home/,M-F 11:00AM-7:00 PM,For some programs,Yes,No,No,Not required,No cost,,
4,,Albany,Programs for Families; Mental health,Programs for kids; Psychological support,"Albany County Department for Children, Youth and Families",112 State St,Room 300,,Albany,NY,12207,-73.754219,42.650051,(518) 447-7324,(518) 447-7578,please call,http://www.albanycounty.com/Government/Departments/DepartmentforChildrenYouthandFamilies/ChildrensServices.aspx,M-F 8:30 AM-4:30PM,No,No,No,No,Caution: Proof of citizenship may be required for some programs,No cost,,
5,,Albany,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,21 Martin Road,,,Voorheesville,NY,12186,-73.962802,42.642304,(518) 765-3500,,albany@cornell.edu,www.albany.cce.cornell.edu,M-F 8:30 AM-4:00 PM,No,Upon request,Call main office,Proof of address,Caution: Proof of citizenship may be required for some programs,Small fee or no cost,,
6,,Albany,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,230 Green Street,3rd Floor,,Albany,NY,12202,-73.755307,42.638928,(518) 463-4267,(518) 463-426,albany@cornell.edu,www.albany.cce.cornell.edu,M-F 8:30 AM-4:00 PM,No,Upon request,No,Proof of address,Caution: Proof of citizenship may be required for some programs,Small fee or no cost,Utility assistance,
7,,Albany,Elderly Services; Referral to other agencies; Health,Health accessibility,New York State Office of the Aging,2 Empire State Plaza,,,Albany,NY,12223,-73.759688,42.650347,(844) NYS-OFA1 or (844)697-6321,,contact page on website,https://aging.ny.gov,,No,Yes,No,No,Caution: Proof of citizenship may be required for some programs,No cost,,
8,,Albany,Programs for families; Victim support,Programs for kids,Office of Children and Family Services,52 Washington Street,,,Rensselaer,NY,12144,-73.744132,42.639698,(518) 473-7793,(518) 486-7550,please call,https://ocfs.ny.gov/main/default.asp,M-F 9:00AM-5:00 PM,No,Yes,No,"Caution: requires US citizenship, ID or green card",Caution: Proof of citizenship may be required for some programs,No cost,"Child Protective Services, Foster Care, Adoption, Adolescent Services, Centralized Intake/Prevention.",
9,,Albany,Labor,Job search assistance; Training; Career Advice,New York State Department of Labor,1 Campus Access Rd,"NYS Department of Labor, Building 12 of the W. Averell Harriman Campus",,Albany,NY,12203,-73.807457,42.680444,"(315) 877-7996 contact Laura Cardoso, not the main office at this location",(518) 462-2768,laura.cardoso@labor.ny.gov,https://www.labor.ny.gov/dews-index.shtm,M-F 8:30 AM-5:00 PM,No,Yes,Yes,No,"Caution: Contact Laura Cardoso, Agricultural Labor Specialist. Labor law protections in New York State apply to all workers, regardless of immigration status. U.S. work authorization is required to register for career center/job search services",,Employment Services has a Rural Labor Service representative who help fill job requests.,
10,,Albany,Health,Farm Visits (inspections),Albany County Department of Health,175 Green St,,,Albany,NY,12202,-73.754468,42.641870,(518) 447-4580,(518) 447-4698,please call,http://www.albanycounty.com/Government/Departments/DepartmentofHealth.aspx,M-F 8:30 AM-4:30PM,No,No,No,Proof of Albany County residency,Not required,Small fee,"Nursing Services, Dental (Pediatric), Immunizations, Sexually Transmitted Disease Testing and Counseling, Environmental Health, Community Health and Food Protection, Birth to Five Program, In-Home Support Program (Bright Beginnings), Heart Disease and Cancer Screening Program.",
